main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3,city_name,datetime
2,180.25708333333333,0.09625,3.887083333333333,66.5,3.3325,9.705,12.42375,0.42291666666666666,Paranaque City,2026-01-01 00:00:00+08:00
1,226.02874999999997,0.09958333333333334,7.95375,54.90833333333333,4.484166666666667,7.974583333333334,9.275833333333333,0.4116666666666667,Paranaque City,2026-01-02 00:00:00+08:00
2,190.36249999999998,0.06625,3.65875,79.42333333333333,3.3491666666666666,6.177083333333333,8.555,0.47750000000000004,Paranaque City,2026-01-03 00:00:00+08:00
2,166.87625,0.041666666666666664,2.669166666666667,89.42791666666666,2.75375,6.6175,11.604166666666666,0.41041666666666665,Paranaque City,2026-01-04 00:00:00+08:00
2,181.15916666666666,0.09749999999999999,3.873333333333333,88.74000000000001,4.95875,10.16,16.583333333333332,0.71,Paranaque City,2026-01-05 00:00:00+08:00
2,195.36541666666665,0.09333333333333332,6.415,72.80708333333334,5.810833333333334,7.69,10.760416666666666,0.7116666666666666,Paranaque City,2026-01-06 00:00:00+08:00
2,195.36458333333334,0.09291666666666666,6.619166666666666,76.5475,5.927499999999999,7.3879166666666665,10.6425,0.8554166666666667,Paranaque City,2026-01-07 00:00:00+08:00
2,231.88208333333333,0.09333333333333334,4.805416666666667,85.93166666666667,5.22,11.429583333333333,14.762916666666667,0.6658333333333334,Paranaque City,2026-01-08 00:00:00+08:00
2,300.685,0.10625,5.671666666666667,82.24374999999999,5.520416666666667,11.749583333333334,14.77375,0.6687500000000001,Paranaque City,2026-01-09 00:00:00+08:00
2,294.61583333333334,0.1025,4.484166666666667,81.36999999999999,5.0808333333333335,16.030833333333334,19.104166666666668,0.63125,Paranaque City,2026-01-10 00:00:00+08:00
2,266.1558333333333,0.11583333333333334,4.017083333333333,82.92458333333333,4.891666666666667,17.08791666666667,19.985833333333336,0.7708333333333334,Paranaque City,2026-01-11 00:00:00+08:00
2,211.25125,0.10208333333333335,3.8475,90.54124999999999,5.29375,12.248333333333333,15.13375,0.7608333333333333,Paranaque City,2026-01-12 00:00:00+08:00
2,238.39458333333334,0.09916666666666667,5.23125,84.66583333333334,5.9070833333333335,15.781666666666666,20.54,0.7383333333333333,Paranaque City,2026-01-13 00:00:00+08:00
2,246.82583333333332,0.15958333333333333,5.805833333333333,72.0125,5.745416666666667,12.81,15.790416666666667,0.8887499999999999,Paranaque City,2026-01-14 00:00:00+08:00
2,232.32041666666666,0.09083333333333334,7.0975,58.24333333333333,5.195416666666667,8.044166666666667,11.174999999999999,0.6970833333333334,Paranaque City,2026-01-15 00:00:00+08:00
2,194.73833333333334,0.08583333333333333,4.803333333333334,77.81291666666667,5.927499999999999,9.437916666666666,14.827916666666667,0.7625000000000001,Paranaque City,2026-01-16 00:00:00+08:00
2,214.1625,0.11333333333333334,4.3225,73.07541666666667,5.394583333333333,11.735,20.234166666666667,0.7495833333333334,Paranaque City,2026-01-17 00:00:00+08:00
2,139.54749999999999,0.020416666666666666,0.9291666666666667,71.0825,0.87,5.553333333333334,10.170833333333333,0.05333333333333334,Paranaque City,2026-01-18 00:00:00+08:00
2,123.80208333333333,0.02666666666666667,0.7358333333333333,76.22666666666667,0.80125,5.694166666666667,14.299583333333333,0.11541666666666667,Paranaque City,2026-01-19 00:00:00+08:00
2,151.535,0.05625,2.17125,75.36416666666666,2.3004166666666666,9.397916666666667,14.961666666666666,0.31666666666666665,Paranaque City,2026-01-20 00:00:00+08:00
2,192.51291666666665,0.09208333333333334,4.112916666666666,83.99541666666667,4.8175,7.2995833333333335,10.23625,0.5970833333333333,Paranaque City,2026-01-21 00:00:00+08:00
2,220.18416666666667,0.07125,3.092083333333333,100.08875,3.7899999999999996,6.203333333333333,8.897499999999999,0.5616666666666666,Paranaque City,2026-01-22 00:00:00+08:00
2,238.35875,0.07791666666666668,3.033333333333333,98.91624999999999,4.1137500000000005,6.5441666666666665,9.86875,0.5841666666666666,Paranaque City,2026-01-23 00:00:00+08:00
2,204.38583333333335,0.05958333333333333,2.3495833333333334,95.02166666666666,3.1337499999999996,5.618333333333333,9.373333333333333,0.4483333333333333,Paranaque City,2026-01-24 00:00:00+08:00
2,172.94041666666666,0.06166666666666667,2.1479166666666667,94.005,2.830833333333333,4.470833333333333,7.705416666666667,0.43124999999999997,Paranaque City,2026-01-25 00:00:00+08:00
2,184.3166666666667,0.09791666666666667,4.098333333333334,90.10416666666667,4.576666666666667,6.083333333333333,9.259583333333333,0.6445833333333334,Paranaque City,2026-01-26 00:00:00+08:00
2,162.45541666666665,0.11958333333333333,3.949583333333333,79.64625,3.9783333333333335,7.785416666666666,10.80625,0.53,Paranaque City,2026-01-27 00:00:00+08:00
2,154.85791666666668,0.09500000000000001,3.23875,89.2675,4.2700000000000005,9.081249999999999,15.580833333333333,0.54125,Paranaque City,2026-01-28 00:00:00+08:00
2,140.31583333333333,0.06583333333333334,2.0241666666666664,88.46083333333333,2.6041666666666665,5.337083333333333,10.550833333333333,0.30583333333333335,Paranaque City,2026-01-29 00:00:00+08:00
2,178.58875,0.0725,2.5341666666666667,94.36166666666666,3.0879166666666666,5.140833333333333,8.595,0.44083333333333335,Paranaque City,2026-01-30 00:00:00+08:00
2,194.75333333333333,0.05625,3.112916666666667,95.60916666666667,4.135,7.115416666666667,14.076666666666668,0.67875,Paranaque City,2026-01-31 00:00:00+08:00
2,145.64458333333334,0.059166666666666666,2.8195833333333336,98.91541666666666,3.9737500000000003,7.045416666666667,17.0775,0.71625,Paranaque City,2026-02-01 00:00:00+08:00
2,146.84166666666667,0.06666666666666667,2.8554166666666667,96.35875,3.785833333333333,8.25625,19.9475,0.6266666666666666,Paranaque City,2026-02-02 00:00:00+08:00
2,152.68375,0.07958333333333333,2.5025,98.27,3.5720833333333335,6.4366666666666665,14.729583333333332,0.5329166666666666,Paranaque City,2026-02-03 00:00:00+08:00
2,175.90125,0.08458333333333333,2.5500000000000003,93.0225,3.1033333333333335,4.8012500000000005,9.177916666666667,0.5145833333333333,Paranaque City,2026-02-04 00:00:00+08:00
2,199.99,0.09666666666666668,3.31625,93.91791666666667,4.1925,8.94375,20.61,0.7620833333333333,Paranaque City,2026-02-05 00:00:00+08:00
2,224.585,0.09166666666666667,4.684583333333333,85.31083333333333,5.27125,10.581249999999999,23.384583333333335,0.96875,Paranaque City,2026-02-06 00:00:00+08:00
2,246.87791666666666,0.08125,5.978750000000001,72.17791666666666,5.051666666666667,11.142916666666666,15.685416666666667,0.8120833333333334,Paranaque City,2026-02-07 00:00:00+08:00
2,242.94583333333333,0.06333333333333334,5.239583333333333,71.74249999999999,3.8695833333333334,7.299166666666667,9.097083333333334,0.6558333333333334,Paranaque City,2026-02-08 00:00:00+08:00
3,222.70916666666665,0.06125,3.141666666666667,101.21041666666667,3.2266666666666666,6.755416666666666,9.312916666666666,0.5058333333333334,Paranaque City,2026-02-09 00:00:00+08:00
2,174.72375,0.06708333333333334,3.4066666666666667,85.59375,3.6125000000000003,6.719166666666666,12.009583333333333,0.6183333333333333,Paranaque City,2026-02-10 00:00:00+08:00
2,177.13375,0.10583333333333333,4.295416666666667,74.22375,4.65625,7.375,14.15,0.72375,Paranaque City,2026-02-11 00:00:00+08:00
2,171.62625,0.09541666666666666,4.0525,74.26083333333334,4.38375,6.869583333333334,12.123750000000001,0.6708333333333334,Paranaque City,2026-02-12 00:00:00+08:00
2,168.18375,0.09916666666666667,4.166666666666667,71.71708333333333,4.1925,5.739583333333333,9.975,0.6604166666666667,Paranaque City,2026-02-13 00:00:00+08:00
2,171.98541666666665,0.06666666666666667,3.40875,66.2625,3.047916666666667,6.200833333333333,8.665416666666667,0.46625,Paranaque City,2026-02-14 00:00:00+08:00
1,205.27083333333334,0.09458333333333334,3.549166666666667,62.44583333333333,2.997916666666667,8.406666666666666,10.926250000000001,0.4041666666666666,Paranaque City,2026-02-15 00:00:00+08:00
2,222.92583333333334,0.14416666666666667,4.4025,66.94916666666667,4.093333333333333,10.992083333333333,14.78625,0.65,Paranaque City,2026-02-16 00:00:00+08:00
1,218.14583333333334,0.15875,4.645833333333333,56.86416666666667,4.081666666666666,7.687083333333334,10.912916666666668,0.5866666666666667,Paranaque City,2026-02-17 00:00:00+08:00
2,169.19875,0.09791666666666667,3.2391666666666663,62.77666666666667,3.3970833333333332,5.095,9.791666666666666,0.5145833333333333,Paranaque City,2026-02-18 00:00:00+08:00
2,165.62541666666667,0.07416666666666667,2.3670833333333334,74.41708333333334,2.6445833333333333,4.14625,9.876666666666667,0.45875,Paranaque City,2026-02-19 00:00:00+08:00
2,216.42583333333334,0.07125,3.0408333333333335,88.2375,3.692083333333333,5.510833333333333,10.667916666666665,0.6208333333333333,Paranaque City,2026-02-20 00:00:00+08:00
2,234.06956521739133,0.0591304347826087,2.382608695652174,86.6491304347826,2.6682608695652172,6.219130434782608,11.726086956521739,0.44347826086956527,Paranaque City,2026-02-21 00:00:00+08:00
2,185.76,0.06791666666666667,2.064583333333333,86.74666666666667,2.7616666666666667,7.87375,14.179166666666667,0.4825,Paranaque City,2026-02-22 00:00:00+08:00
2,164.96083333333334,0.1175,3.1062499999999997,82.19166666666666,3.82625,7.375,14.094583333333333,0.64,Paranaque City,2026-02-23 00:00:00+08:00
2,150.89208333333332,0.09625,3.7266666666666666,66.60458333333334,3.641666666666667,5.385416666666667,8.349583333333333,0.5204166666666666,Paranaque City,2026-02-24 00:00:00+08:00
2,139.70333333333335,0.09333333333333334,3.095,63.479166666666664,3.1158333333333332,6.802916666666667,12.6425,0.4170833333333333,Paranaque City,2026-02-25 00:00:00+08:00
2,139.73333333333332,0.09541666666666666,2.4570833333333333,70.25166666666667,2.733333333333333,7.697916666666667,14.469999999999999,0.3045833333333334,Paranaque City,2026-02-26 00:00:00+08:00
2,170.585,0.11333333333333334,2.561666666666667,91.00791666666667,4.5062500000000005,18.642083333333332,25.698333333333334,0.3516666666666666,Paranaque City,2026-02-27 00:00:00+08:00
2,148.09708333333333,0.07083333333333333,2.0508333333333333,79.035,2.9949999999999997,11.754166666666668,16.167083333333334,0.32625,Paranaque City,2026-02-28 00:00:00+08:00
